City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
7,Ugoofaaru,MV,80.96,overcast clouds,5.67,73.0,Ungoofaaru Inn
9,Cabo San Lucas,MX,82.18,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
11,Dingle,PH,75.87,heavy intensity rain,11.0,122.67,SEGAYA PROPERTY
12,Atuona,PF,77.65,few clouds,-9.8,-139.03,Villa Enata
13,Georgetown,MY,78.73,scattered clouds,5.41,100.34,Cititel Penang
14,Carnarvon,AU,70.83,clear sky,-24.87,113.63,Hospitality Carnarvon
16,Rabaul,PG,80.31,overcast clouds,-4.2,152.17,Rabaul Hotel
23,Luganville,VU,81.61,clear sky,-15.53,167.17,The Espiritu Hotel
25,Cotonou,BJ,82.38,few clouds,6.37,2.42,Novotel Cotonou Orisha
26,San Policarpo,PH,81.63,overcast clouds,12.18,125.51,Agapita M. Nicart
27,Shakawe,BW,80.73,overcast clouds,-18.37,21.85,Ditlhapi Guest House
29,Lorengau,PG,82.65,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
37,Bambanglipuro,ID,74.68,overcast clouds,-7.95,110.28,Puri Brata
38,San Patricio,US,78.66,overcast clouds,28.02,-97.52,"Motel 6 Sinton, TX"
39,Sechura,PE,73.44,scattered clouds,-5.56,-80.82,Hospedaje Costa Bella
40,Tabou,CI,78.06,light rain,4.42,-7.35,hotêl doufoulougou
41,Hilo,US,78.24,light rain,19.73,-155.09,Hilo Hawaiian Hotel
43,Isangel,VU,79.27,clear sky,-19.55,169.27,Tanna Lodge
44,Batticaloa,LK,76.73,moderate rain,7.71,81.69,Treatooo Hotel
50,Bengkulu,ID,74.48,light rain,-3.8,102.27,Grage Hotel Bengkulu
53,Koforidua,GH,74.32,few clouds,6.09,-0.26,Ajaria Royal Palace Hotel
56,Avarua,CK,77.05,broken clouds,-21.21,-159.78,Paradise Inn
60,Saint-Joseph,RE,70.18,scattered clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
62,Srandakan,ID,74.73,overcast clouds,-7.94,110.25,Puri Brata
65,Rikitea,PF,74.73,overcast clouds,-23.12,-134.97,People ThankYou
67,Kapaa,US,80.92,scattered clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
69,Cap Malheureux,MU,71.47,light rain,-19.98,57.61,Pereybere Hotel & Spa
75,Pangkalanbuun,ID,74.7,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
76,Mahebourg,MU,73.69,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
84,Inirida,CO,86.43,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
91,Puerto Narino,CO,85.75,overcast clouds,-3.77,-70.38,Eware Refugio Amazonico
92,Cidreira,BR,74.8,few clouds,-30.18,-50.21,Hotel Castelo
93,Port-Gentil,GA,78.76,few clouds,-0.72,8.78,Fengshui Residence
95,Villavicencio,CO,79.14,broken clouds,4.14,-73.63,Hotel del Llano
96,Butaritari,KI,80.02,overcast clouds,3.07,172.79,Isles Sunset Lodge
98,Caramay,PH,79.21,broken clouds,10.18,119.24,Peace and Love Beach Club
100,Russas,BR,81.5,broken clouds,-4.94,-37.98,Veredas do Vale Hotel
102,San Cristobal,VE,78.98,broken clouds,7.77,-72.22,Pirineos
103,Ballina,AU,72.01,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
104,Nanakuli,US,83.1,clear sky,21.39,-158.15,Camp Pālehua
111,Sinnamary,GF,80.42,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
112,Kantunilkin,MX,88.74,clear sky,21.09,-87.45,Posada Paraiso
113,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
