City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,La Ronge,CA,55.1,-105.28,21.45,73,100,3.44,light snow
1,Hammerfest,NO,70.66,23.68,37.85,75,75,6.91,broken clouds
2,Kruisfontein,ZA,-34.0,24.73,66.88,80,90,8.72,overcast clouds
3,Vaini,TO,-21.2,-175.2,78.96,83,75,6.91,broken clouds
4,Lancaster,US,40.25,-76.25,45.63,52,20,8.05,few clouds
5,Castro,BR,-24.79,-50.01,68.85,81,97,6.04,overcast clouds
6,Tilichiki,RU,60.47,166.1,12.2,97,100,10.83,overcast clouds
7,Ugoofaaru,MV,5.67,73.0,80.96,78,100,10.98,overcast clouds
8,Busselton,AU,-33.65,115.33,50.9,83,0,10.54,clear sky
9,Cabo San Lucas,MX,22.89,-109.91,82.18,66,18,9.26,few clouds
10,Cape Town,ZA,-33.93,18.42,66.27,53,0,3.44,clear sky
11,Dingle,PH,11.0,122.67,75.87,92,100,6.44,heavy intensity rain
12,Atuona,PF,-9.8,-139.03,77.65,78,15,18.81,few clouds
13,Georgetown,MY,5.41,100.34,78.73,95,40,6.91,scattered clouds
14,Carnarvon,AU,-24.87,113.63,70.83,55,1,15.28,clear sky
15,Ulladulla,AU,-35.35,150.47,59.04,77,69,4.21,broken clouds
16,Rabaul,PG,-4.2,152.17,80.31,70,100,2.19,overcast clouds
17,Port Elizabeth,ZA,-33.92,25.57,69.1,82,0,13.8,clear sky
18,Pangnirtung,CA,66.15,-65.71,4.08,87,87,3.2,overcast clouds
19,Mackenzie,CA,55.3,-123.17,32.22,86,100,8.05,overcast clouds
20,Iquique,CL,-20.22,-70.14,68.04,69,25,4.92,scattered clouds
21,Pevek,RU,69.7,170.31,-6.9,99,100,1.43,overcast clouds
22,Mataura,NZ,-46.19,168.86,58.48,52,7,2.91,clear sky
23,Luganville,VU,-15.53,167.17,81.61,74,0,0.67,clear sky
24,Albany,US,42.6,-73.97,39.88,47,6,1.01,clear sky
25,Cotonou,BJ,6.37,2.42,82.38,78,20,9.22,few clouds
26,San Policarpo,PH,12.18,125.51,81.63,85,100,14.97,overcast clouds
27,Shakawe,BW,-18.37,21.85,80.73,47,90,9.06,overcast clouds
28,Hamilton,US,39.18,-84.53,45.63,55,75,8.05,broken clouds
29,Lorengau,PG,-2.02,147.27,82.65,77,100,6.78,overcast clouds
30,Thompson,CA,55.74,-97.86,21.36,68,20,4.61,few clouds
31,Jamestown,US,42.1,-79.24,36.99,68,100,3.0,overcast clouds
32,Vardo,NO,70.37,31.11,33.78,75,0,8.05,clear sky
33,Khatanga,RU,71.97,102.5,-13.38,97,100,13.47,overcast clouds
34,Klaksvik,FO,62.23,-6.59,49.12,92,100,28.86,overcast clouds
35,Dikson,RU,73.51,80.55,1.94,93,100,19.55,overcast clouds
36,Pisco,PE,-13.7,-76.22,68.05,73,100,6.91,overcast clouds
37,Bambanglipuro,ID,-7.95,110.28,74.68,91,100,2.51,overcast clouds
38,San Patricio,US,28.02,-97.52,78.66,86,98,14.92,overcast clouds
39,Sechura,PE,-5.56,-80.82,73.44,60,26,17.05,scattered clouds
40,Tabou,CI,4.42,-7.35,78.06,83,100,6.15,light rain
41,Hilo,US,19.73,-155.09,78.24,85,75,5.75,light rain
42,Uruzgan,AF,32.83,66.0,43.32,57,0,0.51,clear sky
43,Isangel,VU,-19.55,169.27,79.27,70,1,7.23,clear sky
44,Batticaloa,LK,7.71,81.69,76.73,85,100,2.8,moderate rain
45,Sutton,GB,51.35,-0.2,54.72,96,40,8.05,light intensity drizzle
46,New Norfolk,AU,-42.78,147.06,42.3,88,100,1.01,moderate rain
47,Aripuana,BR,-9.17,-60.63,90.88,45,74,3.22,broken clouds
48,Ossora,RU,59.24,163.07,20.98,92,100,13.15,light snow
49,Qaanaaq,GL,77.48,-69.36,-4.81,67,9,7.14,clear sky
50,Bengkulu,ID,-3.8,102.27,74.48,91,100,5.73,light rain
51,Barrow,US,71.29,-156.79,8.62,85,75,13.8,broken clouds
52,Ancud,CL,-41.87,-73.82,54.72,97,99,15.17,light rain
53,Koforidua,GH,6.09,-0.26,74.32,89,12,2.3,few clouds
54,Flinders,AU,-34.58,150.86,64.26,78,15,1.99,few clouds
55,Terrak,NO,65.09,12.37,37.27,84,19,3.42,few clouds
56,Avarua,CK,-21.21,-159.78,77.05,53,75,12.66,broken clouds
57,Encruzilhada Do Sul,BR,-30.54,-52.52,63.7,74,1,14.7,clear sky
58,Odweyne,SO,9.41,45.06,67.39,36,2,9.57,clear sky
59,Lipin Bor,RU,60.26,37.98,27.97,78,10,6.96,clear sky
60,Saint-Joseph,RE,-21.37,55.62,70.18,74,39,15.73,scattered clouds
61,Ushuaia,AR,-54.8,-68.3,58.62,67,75,3.44,broken clouds
62,Srandakan,ID,-7.94,110.25,74.73,91,100,2.68,overcast clouds
63,Hay River,CA,60.82,-115.8,24.78,80,75,12.66,broken clouds
64,Iqaluit,CA,63.75,-68.51,10.13,85,75,17.27,broken clouds
